# Turbine-inlet-temperature sweep (1200 to 1600 K).
case_name,ambient_T_K,ambient_P_Pa,relative_humidity,inlet_pressure_loss,mdot_air_kg_s,pressure_ratio,eta_compressor,T_turbine_inlet_K,eta_combustor,combustor_pressure_loss,LHV_J_kg,eta_turbine,exhaust_pressure_loss,eta_mechanical,eta_generator,auxiliary_load_fraction,degradation_mode
TIT_1200K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1200.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1240K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1240.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1280K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1280.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1320K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1320.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1360K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1360.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1400K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1440K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1440.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1480K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1480.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1520K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1520.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1560K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1560.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
TIT_1600K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1600.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
