# Ambient-temperature sweep (-20 C to +45 C) at fixed TIT.
case_name,ambient_T_K,ambient_P_Pa,relative_humidity,inlet_pressure_loss,mdot_air_kg_s,pressure_ratio,eta_compressor,T_turbine_inlet_K,eta_combustor,combustor_pressure_loss,LHV_J_kg,eta_turbine,exhaust_pressure_loss,eta_mechanical,eta_generator,auxiliary_load_fraction,degradation_mode
Tamb_253.2K,253.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_258.1K,258.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_263.1K,263.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_268.1K,268.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_273.1K,273.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_278.1K,278.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_283.1K,283.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_288.1K,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_293.1K,293.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_298.1K,298.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_303.1K,303.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_308.1K,308.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_313.1K,313.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
Tamb_318.1K,318.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
