# Turbine isentropic-efficiency sweep (0.80 to 0.92).
case_name,ambient_T_K,ambient_P_Pa,relative_humidity,inlet_pressure_loss,mdot_air_kg_s,pressure_ratio,eta_compressor,T_turbine_inlet_K,eta_combustor,combustor_pressure_loss,LHV_J_kg,eta_turbine,exhaust_pressure_loss,eta_mechanical,eta_generator,auxiliary_load_fraction,degradation_mode
etaT_0.800,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.8,0.02,0.99,0.985,0.02,clean
etaT_0.810,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.81,0.02,0.99,0.985,0.02,clean
etaT_0.820,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.82,0.02,0.99,0.985,0.02,clean
etaT_0.830,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.83,0.02,0.99,0.985,0.02,clean
etaT_0.840,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.84,0.02,0.99,0.985,0.02,clean
etaT_0.850,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.85,0.02,0.99,0.985,0.02,clean
etaT_0.860,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.86,0.02,0.99,0.985,0.02,clean
etaT_0.870,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.87,0.02,0.99,0.985,0.02,clean
etaT_0.880,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.88,0.02,0.99,0.985,0.02,clean
etaT_0.890,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
etaT_0.900,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.9,0.02,0.99,0.985,0.02,clean
etaT_0.910,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.91,0.02,0.99,0.985,0.02,clean
etaT_0.920,288.15,101325,0.6,0.01,100.0,15.0,0.86,1400.0,0.98,0.03,50.0e6,0.92,0.02,0.99,0.985,0.02,clean
