# Pressure-ratio sweep (6 to 30).
case_name,ambient_T_K,ambient_P_Pa,relative_humidity,inlet_pressure_loss,mdot_air_kg_s,pressure_ratio,eta_compressor,T_turbine_inlet_K,eta_combustor,combustor_pressure_loss,LHV_J_kg,eta_turbine,exhaust_pressure_loss,eta_mechanical,eta_generator,auxiliary_load_fraction,degradation_mode
PR_6.0,288.15,101325,0.6,0.01,100.0,6.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_8.0,288.15,101325,0.6,0.01,100.0,8.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_10.0,288.15,101325,0.6,0.01,100.0,10.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_12.0,288.15,101325,0.6,0.01,100.0,12.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_14.0,288.15,101325,0.6,0.01,100.0,14.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_16.0,288.15,101325,0.6,0.01,100.0,16.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_18.0,288.15,101325,0.6,0.01,100.0,18.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_20.0,288.15,101325,0.6,0.01,100.0,20.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_22.0,288.15,101325,0.6,0.01,100.0,22.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_24.0,288.15,101325,0.6,0.01,100.0,24.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_26.0,288.15,101325,0.6,0.01,100.0,26.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_28.0,288.15,101325,0.6,0.01,100.0,28.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
PR_30.0,288.15,101325,0.6,0.01,100.0,30.0,0.86,1400.0,0.98,0.03,50.0e6,0.89,0.02,0.99,0.985,0.02,clean
