case_name,degradation_mode,T1_K,P1_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,w_compressor_kJ_kg,w_turbine_kJ_kg,w_net_kJ_kg,fuel_air_ratio,fuel_flow_kg_s,mdot_air_kg_s,mdot_gas_kg_s,power_compressor_MW,power_turbine_MW,gross_power_MW,net_power_MW,heat_input_MW,thermal_efficiency,heat_rate_kJ_kWh,exhaust_temperature_K,exhaust_energy_MW,specific_power_kW_per_kgps,converged,status
Tamb_253.2K,clean,  2.53150000E+02,  1.00311750E+05,  5.96914234E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.45311173E+02,  6.92162028E+02,  3.46850855E+02,  2.12606061E-02,  2.12606061E+00,  1.00000000E+02,  1.02126061E+02,  3.45311173E+01,  7.06877812E+01,  3.52581708E+01,  3.45530074E+01,  1.06303030E+02,  3.25042544E-01,  1.10754733E+04,  7.97071404E+02,  5.96663106E+01,  3.45530074E+02,1,ok
Tamb_258.1K,clean,  2.58150000E+02,  1.00311750E+05,  6.08703968E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.52131461E+02,  6.92162028E+02,  3.40030567E+02,  2.10107203E-02,  2.10107203E+00,  1.00000000E+02,  1.02101072E+02,  3.52131461E+01,  7.06704851E+01,  3.45762241E+01,  3.38846996E+01,  1.05053601E+02,  3.22546768E-01,  1.11611721E+04,  7.97071404E+02,  5.96517113E+01,  3.38846996E+02,1,ok
Tamb_263.1K,clean,  2.63150000E+02,  1.00311750E+05,  6.20493702E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.58951748E+02,  6.92162028E+02,  3.33210279E+02,  2.07608345E-02,  2.07608345E+00,  1.00000000E+02,  1.02076083E+02,  3.58951748E+01,  7.06531889E+01,  3.38942774E+01,  3.32163919E+01,  1.03804172E+02,  3.19990913E-01,  1.12503195E+04,  7.97071404E+02,  5.96371119E+01,  3.32163919E+02,1,ok
Tamb_268.1K,clean,  2.68150000E+02,  1.00311750E+05,  6.32283436E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.65772036E+02,  6.92162028E+02,  3.26389992E+02,  2.05109487E-02,  2.05109487E+00,  1.00000000E+02,  1.02051095E+02,  3.65772036E+01,  7.06358928E+01,  3.32123307E+01,  3.25480841E+01,  1.02554743E+02,  3.17372781E-01,  1.13431278E+04,  7.97071404E+02,  5.96225125E+01,  3.25480841E+02,1,ok
Tamb_273.1K,clean,  2.73150000E+02,  1.00311750E+05,  6.44073170E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.72592324E+02,  6.92162028E+02,  3.19569704E+02,  2.02610629E-02,  2.02610629E+00,  1.00000000E+02,  1.02026106E+02,  3.72592324E+01,  7.06185966E+01,  3.25303840E+01,  3.18797763E+01,  1.01305314E+02,  3.14690069E-01,  1.14398272E+04,  7.97071404E+02,  5.96079131E+01,  3.18797763E+02,1,ok
Tamb_278.1K,clean,  2.78150000E+02,  1.00311750E+05,  6.55862904E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.79412612E+02,  6.92162028E+02,  3.12749416E+02,  2.00111771E-02,  2.00111771E+00,  1.00000000E+02,  1.02001118E+02,  3.79412612E+01,  7.06013005E+01,  3.18484373E+01,  3.12114686E+01,  1.00055885E+02,  3.11940356E-01,  1.15406677E+04,  7.97071404E+02,  5.95933138E+01,  3.12114686E+02,1,ok
Tamb_283.1K,clean,  2.83150000E+02,  1.00311750E+05,  6.67652638E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.86232900E+02,  6.92162028E+02,  3.05929128E+02,  1.97612913E-02,  1.97612913E+00,  1.00000000E+02,  1.01976129E+02,  3.86232900E+01,  7.05840043E+01,  3.11664906E+01,  3.05431608E+01,  9.88064564E+01,  3.09121103E-01,  1.16459212E+04,  7.97071404E+02,  5.95787144E+01,  3.05431608E+02,1,ok
Tamb_288.1K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.93053188E+02,  6.92162028E+02,  2.99108840E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  7.05667082E+01,  3.04845439E+01,  2.98748530E+01,  9.75570274E+01,  3.06229636E-01,  1.17558837E+04,  7.97071404E+02,  5.95641150E+01,  2.98748530E+02,1,ok
Tamb_293.1K,clean,  2.93150000E+02,  1.00311750E+05,  6.91232106E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.99873475E+02,  6.92162028E+02,  2.92288552E+02,  1.92615197E-02,  1.92615197E+00,  1.00000000E+02,  1.01926152E+02,  3.99873475E+01,  7.05494120E+01,  2.98025972E+01,  2.92065452E+01,  9.63075984E+01,  3.03263146E-01,  1.18708786E+04,  7.97071404E+02,  5.95495157E+01,  2.92065452E+02,1,ok
Tamb_298.1K,clean,  2.98150000E+02,  1.00311750E+05,  7.03021840E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  4.06693763E+02,  6.92162028E+02,  2.85468265E+02,  1.90116339E-02,  1.90116339E+00,  1.00000000E+02,  1.01901163E+02,  4.06693763E+01,  7.05321159E+01,  2.91206505E+01,  2.85382375E+01,  9.50581694E+01,  3.00218673E-01,  1.19912594E+04,  7.97071404E+02,  5.95349163E+01,  2.85382375E+02,1,ok
