case_name,degradation_mode,T1_K,P1_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,w_compressor_kJ_kg,w_turbine_kJ_kg,w_net_kJ_kg,fuel_air_ratio,fuel_flow_kg_s,mdot_air_kg_s,mdot_gas_kg_s,power_compressor_MW,power_turbine_MW,gross_power_MW,net_power_MW,heat_input_MW,thermal_efficiency,heat_rate_kJ_kWh,exhaust_temperature_K,exhaust_energy_MW,specific_power_kW_per_kgps,converged,status
etaT_0.800,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.58041712E+02,  1.03351500E+05,  3.93053188E+02,  6.22168115E+02,  2.29114927E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.34307489E+01,  2.35259132E+01,  2.30553950E+01,  9.75570274E+01,  2.36327362E-01,  1.52331070E+04,  8.58041712E+02,  6.67000743E+01,  2.30553950E+02,1,ok
etaT_0.810,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.51267233E+02,  1.03351500E+05,  3.93053188E+02,  6.29945216E+02,  2.36892029E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.42236333E+01,  2.42990944E+01,  2.38131125E+01,  9.75570274E+01,  2.44094282E-01,  1.47483996E+04,  8.51267233E+02,  6.59071899E+01,  2.38131125E+02,1,ok
etaT_0.820,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.44492755E+02,  1.03351500E+05,  3.93053188E+02,  6.37722318E+02,  2.44669130E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.50165177E+01,  2.50722756E+01,  2.45708301E+01,  9.75570274E+01,  2.51861201E-01,  1.42935870E+04,  8.44492755E+02,  6.51143056E+01,  2.45708301E+02,1,ok
etaT_0.830,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.37718276E+02,  1.03351500E+05,  3.93053188E+02,  6.45499419E+02,  2.52446232E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.58094020E+01,  2.58454568E+01,  2.53285476E+01,  9.75570274E+01,  2.59628120E-01,  1.38659865E+04,  8.37718276E+02,  6.43214212E+01,  2.53285476E+02,1,ok
etaT_0.840,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.30943797E+02,  1.03351500E+05,  3.93053188E+02,  6.53276521E+02,  2.60223333E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.66022864E+01,  2.66186380E+01,  2.60862652E+01,  9.75570274E+01,  2.67395040E-01,  1.34632266E+04,  8.30943797E+02,  6.35285368E+01,  2.60862652E+02,1,ok
etaT_0.850,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.24169319E+02,  1.03351500E+05,  3.93053188E+02,  6.61053622E+02,  2.68000434E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.73951707E+01,  2.73918192E+01,  2.68439828E+01,  9.75570274E+01,  2.75161959E-01,  1.30832038E+04,  8.24169319E+02,  6.27356525E+01,  2.68439828E+02,1,ok
etaT_0.860,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.17394840E+02,  1.03351500E+05,  3.93053188E+02,  6.68830724E+02,  2.75777536E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.81880551E+01,  2.81650003E+01,  2.76017003E+01,  9.75570274E+01,  2.82928878E-01,  1.27240458E+04,  8.17394840E+02,  6.19427681E+01,  2.76017003E+02,1,ok
etaT_0.870,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.10620362E+02,  1.03351500E+05,  3.93053188E+02,  6.76607825E+02,  2.83554637E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.89809395E+01,  2.89381815E+01,  2.83594179E+01,  9.75570274E+01,  2.90695798E-01,  1.23840800E+04,  8.10620362E+02,  6.11498837E+01,  2.83594179E+02,1,ok
etaT_0.880,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  8.03845883E+02,  1.03351500E+05,  3.93053188E+02,  6.84384926E+02,  2.91331739E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  6.97738238E+01,  2.97113627E+01,  2.91171355E+01,  9.75570274E+01,  2.98462717E-01,  1.20618080E+04,  8.03845883E+02,  6.03569994E+01,  2.91171355E+02,1,ok
etaT_0.890,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.93053188E+02,  6.92162028E+02,  2.99108840E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  7.05667082E+01,  3.04845439E+01,  2.98748530E+01,  9.75570274E+01,  3.06229636E-01,  1.17558837E+04,  7.97071404E+02,  5.95641150E+01,  2.98748530E+02,1,ok
