case_name,degradation_mode,T1_K,P1_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,w_compressor_kJ_kg,w_turbine_kJ_kg,w_net_kJ_kg,fuel_air_ratio,fuel_flow_kg_s,mdot_air_kg_s,mdot_gas_kg_s,power_compressor_MW,power_turbine_MW,gross_power_MW,net_power_MW,heat_input_MW,thermal_efficiency,heat_rate_kJ_kWh,exhaust_temperature_K,exhaust_energy_MW,specific_power_kW_per_kgps,converged,status
TIT_1200K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.20000000E+03,  1.45953596E+06,  6.83204061E+02,  1.03351500E+05,  3.93053188E+02,  5.93281738E+02,  2.00228551E+02,  1.45960753E-02,  1.45960753E+00,  1.00000000E+02,  1.01459608E+02,  3.93053188E+01,  6.01941323E+01,  2.03697265E+01,  1.99623320E+01,  7.29803766E+01,  2.73530131E-01,  1.31612557E+04,  6.83204061E+02,  4.60141704E+01,  1.99623320E+02,1,ok
TIT_1240K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.24000000E+03,  1.45953596E+06,  7.05977530E+02,  1.03351500E+05,  3.93053188E+02,  6.13057796E+02,  2.20004608E+02,  1.55753460E-02,  1.55753460E+00,  1.00000000E+02,  1.01557535E+02,  3.93053188E+01,  6.22606383E+01,  2.23848799E+01,  2.19371823E+01,  7.78767300E+01,  2.81691107E-01,  1.27799562E+04,  7.05977530E+02,  4.87136968E+01,  2.19371823E+02,1,ok
TIT_1280K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.28000000E+03,  1.45953596E+06,  7.28750998E+02,  1.03351500E+05,  3.93053188E+02,  6.32833854E+02,  2.39780666E+02,  1.65565089E-02,  1.65565089E+00,  1.00000000E+02,  1.01655651E+02,  3.93053188E+01,  6.43311373E+01,  2.44039270E+01,  2.39158484E+01,  8.27825443E+01,  2.88899655E-01,  1.24610741E+04,  7.28750998E+02,  5.14184393E+01,  2.39158484E+02,1,ok
TIT_1320K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.32000000E+03,  1.45953596E+06,  7.51524467E+02,  1.03351500E+05,  3.93053188E+02,  6.52609912E+02,  2.59556724E+02,  1.75395694E-02,  1.75395694E+00,  1.00000000E+02,  1.01753957E+02,  3.93053188E+01,  6.64056409E+01,  2.64268791E+01,  2.58983415E+01,  8.76978469E+01,  2.95313311E-01,  1.21904427E+04,  7.51524467E+02,  5.41284130E+01,  2.58983415E+02,1,ok
TIT_1360K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.36000000E+03,  1.45953596E+06,  7.74297936E+02,  1.03351500E+05,  3.93053188E+02,  6.72385970E+02,  2.79332782E+02,  1.85245331E-02,  1.85245331E+00,  1.00000000E+02,  1.01852453E+02,  3.93053188E+01,  6.84841606E+01,  2.84537476E+01,  2.78846727E+01,  9.26226653E+01,  3.01056686E-01,  1.19578809E+04,  7.74297936E+02,  5.68436332E+01,  2.78846727E+02,1,ok
TIT_1400K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.93053188E+02,  6.92162028E+02,  2.99108840E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  7.05667082E+01,  3.04845439E+01,  2.98748530E+01,  9.75570274E+01,  3.06229636E-01,  1.17558837E+04,  7.97071404E+02,  5.95641150E+01,  2.98748530E+02,1,ok
TIT_1440K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.44000000E+03,  1.45953596E+06,  8.19844873E+02,  1.03351500E+05,  3.93053188E+02,  7.11938086E+02,  3.18884898E+02,  2.05001921E-02,  2.05001921E+00,  1.00000000E+02,  1.02050019E+02,  3.93053188E+01,  7.26532953E+01,  3.25192794E+01,  3.18688938E+01,  1.02500961E+02,  3.10913123E-01,  1.15787972E+04,  8.19844873E+02,  6.22898739E+01,  3.18688938E+02,1,ok
TIT_1480K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.48000000E+03,  1.45953596E+06,  8.42618342E+02,  1.03351500E+05,  3.93053188E+02,  7.31714144E+02,  3.38660956E+02,  2.14908986E-02,  2.14908986E+00,  1.00000000E+02,  1.02149090E+02,  3.93053188E+01,  7.47439338E+01,  3.45579655E+01,  3.38668062E+01,  1.07454493E+02,  3.15173476E-01,  1.14222810E+04,  8.42618342E+02,  6.50209251E+01,  3.38668062E+02,1,ok
TIT_1520K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.52000000E+03,  1.45953596E+06,  8.65391810E+02,  1.03351500E+05,  3.93053188E+02,  7.51490202E+02,  3.58437014E+02,  2.24835306E-02,  2.24835306E+00,  1.00000000E+02,  1.02248353E+02,  3.93053188E+01,  7.68386355E+01,  3.66006138E+01,  3.58686015E+01,  1.12417653E+02,  3.19065561E-01,  1.12829476E+04,  8.65391810E+02,  6.77572840E+01,  3.58686015E+02,1,ok
TIT_1560K,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.56000000E+03,  1.45953596E+06,  8.88165279E+02,  1.03351500E+05,  3.93053188E+02,  7.71266260E+02,  3.78213072E+02,  2.34780936E-02,  2.34780936E+00,  1.00000000E+02,  1.02347809E+02,  3.93053188E+01,  7.89374121E+01,  3.86472358E+01,  3.78742911E+01,  1.17390468E+02,  3.22635149E-01,  1.11581147E+04,  8.88165279E+02,  7.04989663E+01,  3.78742911E+02,1,ok
