schedule,time_s,T_gas_K,T_metal_K
startup,  0.00000000E+00,  7.97071404E+02,  2.88150000E+02
startup,  1.00000000E+01,  7.97071404E+02,  3.12947329E+02
startup,  2.00000000E+01,  7.97071404E+02,  3.36491092E+02
startup,  3.00000000E+01,  7.97071404E+02,  3.58844660E+02
startup,  4.00000000E+01,  7.97071404E+02,  3.80068200E+02
startup,  5.00000000E+01,  7.97071404E+02,  4.00218837E+02
startup,  6.00000000E+01,  7.97071404E+02,  4.19350811E+02
startup,  7.00000000E+01,  7.97071404E+02,  4.37515616E+02
startup,  8.00000000E+01,  7.97071404E+02,  4.54762146E+02
startup,  9.00000000E+01,  7.97071404E+02,  4.71136821E+02
startup,  1.00000000E+02,  7.97071404E+02,  4.86683716E+02
startup,  1.10000000E+02,  7.97071404E+02,  5.01444677E+02
startup,  1.20000000E+02,  7.97071404E+02,  5.15459436E+02
startup,  1.30000000E+02,  7.97071404E+02,  5.28765713E+02
startup,  1.40000000E+02,  7.97071404E+02,  5.41399326E+02
startup,  1.50000000E+02,  7.97071404E+02,  5.53394279E+02
startup,  1.60000000E+02,  7.97071404E+02,  5.64782857E+02
startup,  1.70000000E+02,  7.97071404E+02,  5.75595715E+02
startup,  1.80000000E+02,  7.97071404E+02,  5.85861956E+02
startup,  1.90000000E+02,  7.97071404E+02,  5.95609213E+02
startup,  2.00000000E+02,  7.97071404E+02,  6.04863722E+02
startup,  2.10000000E+02,  7.97071404E+02,  6.13650394E+02
startup,  2.20000000E+02,  7.97071404E+02,  6.21992877E+02
startup,  2.30000000E+02,  7.97071404E+02,  6.29913627E+02
startup,  2.40000000E+02,  7.97071404E+02,  6.37433964E+02
startup,  2.50000000E+02,  7.97071404E+02,  6.44574130E+02
startup,  2.60000000E+02,  7.97071404E+02,  6.51353342E+02
startup,  2.70000000E+02,  7.97071404E+02,  6.57789849E+02
startup,  2.80000000E+02,  7.97071404E+02,  6.63900974E+02
startup,  2.90000000E+02,  7.97071404E+02,  6.69703167E+02
startup,  3.00000000E+02,  7.97071404E+02,  6.75212045E+02
startup,  3.10000000E+02,  7.97071404E+02,  6.80442435E+02
startup,  3.20000000E+02,  7.97071404E+02,  6.85408417E+02
startup,  3.30000000E+02,  7.97071404E+02,  6.90123356E+02
startup,  3.40000000E+02,  7.97071404E+02,  6.94599943E+02
startup,  3.50000000E+02,  7.97071404E+02,  6.98850227E+02
startup,  3.60000000E+02,  7.97071404E+02,  7.02885650E+02
startup,  3.70000000E+02,  7.97071404E+02,  7.06717071E+02
startup,  3.80000000E+02,  7.97071404E+02,  7.10354805E+02
startup,  3.90000000E+02,  7.97071404E+02,  7.13808643E+02
startup,  4.00000000E+02,  7.97071404E+02,  7.17087880E+02
startup,  4.10000000E+02,  7.97071404E+02,  7.20201344E+02
startup,  4.20000000E+02,  7.97071404E+02,  7.23157415E+02
startup,  4.30000000E+02,  7.97071404E+02,  7.25964049E+02
startup,  4.40000000E+02,  7.97071404E+02,  7.28628801E+02
startup,  4.50000000E+02,  7.97071404E+02,  7.31158843E+02
startup,  4.60000000E+02,  7.97071404E+02,  7.33560986E+02
startup,  4.70000000E+02,  7.97071404E+02,  7.35841694E+02
startup,  4.80000000E+02,  7.97071404E+02,  7.38007106E+02
startup,  4.90000000E+02,  7.97071404E+02,  7.40063052E+02
startup,  5.00000000E+02,  7.97071404E+02,  7.42015065E+02
startup,  5.10000000E+02,  7.97071404E+02,  7.43868398E+02
